날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2026-08-05,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-08-04,20:19,이체,이체,미분류,송금 취소 내역,-6400,KRW,카카오페이 머니,
2026-08-04,20:14,지출,금융,은행,송금 내역,-6400,KRW,카카오페이 머니,
2026-08-04,20:14,이체,이체,미분류,카카오페이,-10000,KRW,신한 주거래 우대통장(S-lite),
2026-08-04,14:52,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-18940,KRW,Air One (에어원) 스카이패스,
2026-08-04,14:23,지출,의료/건강,치과,연세세브란스치과의원,-21100,KRW,Air One (에어원) 스카이패스,
2026-08-04,07:40,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-08-03,18:08,이체,이체,미분류,이용순,-300000,KRW,저축예금,
2026-08-02,14:43,지출,문화/여가,테마파크,(주)엠비씨플레이비,-11200,KRW,Air One (에어원) 스카이패스,
2026-08-01,05:07,지출,주거/통신,휴대폰,자동결제2_다날1,-3483,KRW,Air One (에어원) 스카이패스,
2026-07-31,18:48,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-2790,KRW,Air One (에어원) 스카이패스,
2026-07-31,08:42,이체,현금,미분류,004.송영애,-870000,KRW,신한 주거래 우대통장(S-lite),
2026-07-31,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1950,KRW,Air One (에어원) 스카이패스,
2026-07-31,00:00,지출,온라인쇼핑,인터넷쇼핑,주식회사 스튜디오씨에스,154200,KRW,Air One (에어원) 스카이패스,
2026-07-30,19:38,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-72390,KRW,Air One (에어원) 스카이패스,
2026-07-29,16:09,지출,의료/건강,치과,연세세브란스치과의원,-9500,KRW,Air One (에어원) 스카이패스,
2026-07-28,18:48,지출,자동차,주차,아마노코리아(주),-3500,KRW,Air One (에어원) 스카이패스,
2026-07-27,19:19,지출,금융,보험,NH손보109회,-43470,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,18:55,지출,금융,카드,현대카드(주),-1483051,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,18:55,지출,금융,카드,현대카드(주),-54100,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,18:53,이체,카드대금,미분류,KB카드출금,-98300,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,18:41,지출,금융,이자/대출,한국장학재단,-58428,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,18:12,이체,카드대금,미분류,신한카드,-1877800,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,15:31,지출,경조/선물,선물,우일플라워,-35000,KRW,Air One (에어원) 스카이패스,
2026-07-27,15:23,지출,주거/통신,관리비,KB아파트관리비,-296180,KRW,KT DC Plus KB국민카드,
2026-07-27,15:00,지출,교육/학습,학습교재,(주)웅진씽크빅,-99000,KRW,Air One (에어원) 스카이패스,
2026-07-27,11:48,지출,카페/간식,커피/음료,주식회사 논탄토,-12000,KRW,Air One (에어원) 스카이패스,
2026-07-27,09:37,이체,이체,미분류,이용순,-100000,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,09:20,이체,이체,미분류,이용순,100000,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,06:04,지출,금융,증권/투자,311243546349,-77260,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,06:04,지출,여행/숙박,항공권,311234455656,-47408,KRW,신한 주거래 우대통장(S-lite),
2026-07-27,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-3100,KRW,Air One (에어원) 스카이패스,
2026-07-26,20:28,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-35540,KRW,Air One (에어원) 스카이패스,
2026-07-26,12:39,지출,금융,은행,송금 내역,-100000,KRW,카카오페이 머니,
2026-07-26,12:39,이체,이체,미분류,카카오페이,-10000,KRW,신한 주거래 우대통장(S-lite),
2026-07-26,05:59,지출,온라인쇼핑,인터넷쇼핑,당근페이,-500000,KRW,Air One (에어원) 스카이패스,
2026-07-26,00:31,지출,온라인쇼핑,결제/충전,나이스정보통신 주식회사,-10000,KRW,카카오페이 간편결제,
2026-07-25,04:02,수입,금융수입,미분류,이자,1,KRW,MY 입출금통장,
2026-07-25,01:05,지출,온라인쇼핑,서비스구독,Netflix.com,-17000,KRW,Air One (에어원) 스카이패스,
2026-07-25,00:45,지출,여행/숙박,여행,카모아 - 렌트카 가격비교 1등,-86,KRW,네이버페이 간편결제(포인트),
2026-07-25,00:45,지출,여행/숙박,여행,카모아 - 렌트카 가격비교 1등,-189594,KRW,네이버페이 간편결제,
2026-07-24,14:49,지출,온라인쇼핑,결제/충전,스튜디오씨에스_인증,-154200,KRW,Air One (에어원) 스카이패스,
2026-07-24,14:31,지출,카페/간식,커피/음료,스타벅스_충전,-10000,KRW,Air One (에어원) 스카이패스,
2026-07-24,13:53,지출,여행/숙박,항공권,Trinity Airways,-883545,KRW,토스 간편결제,
2026-07-24,13:39,지출,여행/숙박,항공권,트리니티항공,86,KRW,네이버페이 간편결제(포인트),
2026-07-24,13:39,지출,여행/숙박,항공권,트리니티항공,1078114,KRW,네이버페이 간편결제,
2026-07-24,12:22,지출,여행/숙박,항공권,트리니티항공,-86,KRW,네이버페이 간편결제(포인트),
2026-07-24,12:22,지출,여행/숙박,항공권,트리니티항공,-1078114,KRW,네이버페이 간편결제,
2026-07-24,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-3900,KRW,Air One (에어원) 스카이패스,
2026-07-24,00:00,지출,교통,대중교통,모바일_삼성페이_후불버스,-1500,KRW,Air One (에어원) 스카이패스,
2026-07-23,18:46,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-29110,KRW,Air One (에어원) 스카이패스,
2026-07-23,18:43,지출,온라인쇼핑,서비스구독,유튜브프리미엄,-14900,KRW,Air One (에어원) 스카이패스,
2026-07-23,15:22,지출,자동차,미분류,공공서비스,-900,KRW,Air One (에어원) 스카이패스,
2026-07-23,14:33,지출,뷰티/미용,헤어샵,하르르,-9000,KRW,Air One (에어원) 스카이패스,
2026-07-23,08:06,지출,뷰티/미용,헤어샵,하르르헤어,-363,KRW,네이버페이 간편결제(포인트),
2026-07-23,08:06,지출,뷰티/미용,헤어샵,하르르헤어,-8637,KRW,네이버페이 간편결제,
2026-07-22,14:58,수입,급여,미분류,환급인천부평구,1100,KRW,신한 주거래 우대통장(S-lite),
2026-07-22,04:41,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-22,04:41,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-22,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-07-21,17:03,이체,이체,미분류,송영애,30000,KRW,신한 주거래 우대통장(S-lite),
2026-07-21,16:48,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-12000,KRW,카카오페이 간편결제,
2026-07-21,13:16,수입,급여,미분류,육아급여고용부,2000000,KRW,신한 주거래 우대통장(S-lite),
2026-07-20,19:33,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-66330,KRW,Air One (에어원) 스카이패스,
2026-07-20,07:10,지출,금융,보험,KB손024 07,-13000,KRW,신한 주거래 우대통장(S-lite),
2026-07-18,20:44,지출,온라인쇼핑,결제/충전,스마트로(비),-2400,KRW,Air One (에어원) 스카이패스,
2026-07-18,20:42,지출,자녀/육아,놀이/체험,쁘띠몽드 마포중앙도서관점,-42800,KRW,Air One (에어원) 스카이패스,
2026-07-18,18:13,지출,카페/간식,커피/음료,키오스크_KICC_4,-6400,KRW,Air One (에어원) 스카이패스,
2026-07-18,12:18,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-67730,KRW,Air One (에어원) 스카이패스,
2026-07-17,18:49,이체,이체,미분류,정지선,-5400,KRW,신한 주거래 우대통장(S-lite),
2026-07-17,17:26,지출,자동차,주유,(주)승지 승일주유소,-8000,KRW,Air One (에어원) 스카이패스,
2026-07-17,16:59,이체,저축,미분류,THIDA TUN,5000000,KRW,신한 주거래 우대통장(S-lite),
2026-07-17,16:58,이체,저축,미분류,THIDA TUN,7000000,KRW,신한 주거래 우대통장(S-lite),
2026-07-17,16:58,이체,저축,미분류,THIDA TUN,9000000,KRW,신한 주거래 우대통장(S-lite),
2026-07-17,16:57,이체,저축,미분류,THIDA TUN,9000000,KRW,신한 주거래 우대통장(S-lite),
2026-07-17,13:19,지출,카페/간식,베이커리,앙팡,-70000,KRW,라이언 치즈 체크카드,
2026-07-17,09:36,이체,저축,미분류,예금결산이자,0,KRW,우리 SUPER주거래 통장,
2026-07-16,17:49,이체,저축,미분류,THIDA TUN,7000000,KRW,신한 주거래 우대통장(S-lite),
2026-07-16,11:04,수입,기타수입,미분류,부평세무서,10990,KRW,신한 주거래 우대통장(S-lite),
2026-07-16,04:44,지출,자동차,통행료,인천김포고속도로,-3300,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-16,04:44,지출,자동차,통행료,한국도로공사,-450,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-15,07:05,지출,주거/통신,인터넷,LGU+84273357,-8800,KRW,신한 주거래 우대통장(S-lite),
2026-07-15,07:05,지출,주거/통신,인터넷,LGU+77651357,-8800,KRW,신한 주거래 우대통장(S-lite),
2026-07-15,04:28,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-15,04:28,지출,자동차,통행료,한국도로공사,-1800,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-14,18:26,지출,금융,이자/대출,한국장학재단,-58510,KRW,신한 주거래 우대통장(S-lite),
2026-07-14,12:17,지출,의료/건강,약국,부개하늘약국,-10000,KRW,Air One (에어원) 스카이패스,
2026-07-14,12:11,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-29720,KRW,Air One (에어원) 스카이패스,
2026-07-14,10:10,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-4700,KRW,카카오페이 간편결제,
2026-07-13,16:55,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,120800,KRW,카카오페이 간편결제,
2026-07-13,16:43,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-120800,KRW,카카오페이 간편결제,
2026-07-13,11:53,지출,금융,세금/과태료,(사단법인)금융결제원,-60550,KRW,카카오페이 간편결제,
2026-07-13,11:52,지출,금융,세금/과태료,(사단법인)금융결제원,-108090,KRW,카카오페이 간편결제,
2026-07-13,08:57,지출,주거/통신,인터넷,KT유선상품자동납부,-36300,KRW,KT DC Plus KB국민카드,
2026-07-13,04:14,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-13,00:00,지출,자동차,통행료,유료터널,-800,KRW,Air One (에어원) 스카이패스,
2026-07-12,20:57,지출,패션/쇼핑,아울렛/몰,현대아울렛 송도점,-10310,KRW,Air One (에어원) 스카이패스,
2026-07-12,20:48,지출,패션/쇼핑,패션,리틀킹(주)트리플스트리트점,-38700,KRW,Air One (에어원) 스카이패스,
2026-07-12,20:27,지출,패션/쇼핑,패션,(주)이랜드월드 패션 송도트리플,-69800,KRW,KT DC Plus KB국민카드,
2026-07-12,20:06,지출,금융,카드,헥토_이지피쥐(비),-26500,KRW,Air One (에어원) 스카이패스,
2026-07-12,19:19,지출,식비,한식,북촌손만두 트리플스트리트점,-6500,KRW,Air One (에어원) 스카이패스,
2026-07-12,18:56,지출,식비,한식,북촌손만두 트리플스트리트점,-32000,KRW,Air One (에어원) 스카이패스,
2026-07-12,12:51,지출,식비,한식,부평칼국수,-21000,KRW,Air One (에어원) 스카이패스,
2026-07-10,18:28,지출,금융,이자/대출,한국장학재단,-59856,KRW,신한 주거래 우대통장(S-lite),
2026-07-10,17:31,지출,의료/건강,약국,부개하늘약국,-1000,KRW,Air One (에어원) 스카이패스,
2026-07-10,08:50,이체,현금,미분류,004.안연심,-450000,KRW,신한 주거래 우대통장(S-lite),
2026-07-10,07:07,지출,경조/선물,회비,국민의힘당비,-1000,KRW,신한 주거래 우대통장(S-lite),
2026-07-10,07:00,지출,온라인쇼핑,인터넷쇼핑,인천가스2607,-30820,KRW,신한 주거래 우대통장(S-lite),
2026-07-10,04:05,이체,현금,미분류,AYE CHAN TUN,450000,KRW,저축예금,
2026-07-10,00:00,지출,자동차,통행료,유료터널,-800,KRW,Air One (에어원) 스카이패스,
2026-07-09,19:31,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-51460,KRW,Air One (에어원) 스카이패스,
2026-07-09,08:28,지출,주거/통신,휴대폰,LG  U+통신요금  자동이체,-26900,KRW,Air One (에어원) 스카이패스,
2026-07-08,18:25,지출,금융,이자/대출,한국장학재단,-68717,KRW,신한 주거래 우대통장(S-lite),
2026-07-08,18:25,지출,금융,이자/대출,한국장학재단,-59405,KRW,신한 주거래 우대통장(S-lite),
2026-07-08,14:05,이체,이체,미분류,김현순,10400,KRW,NH주거래우대통장,
2026-07-08,04:32,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-08,04:32,지출,자동차,통행료,서울터널,-2700,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-07,06:05,지출,자동차,통행료,신공항고속도로,-3200,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-06,13:53,지출,온라인쇼핑,인터넷쇼핑,롯데쇼핑(주),-11600,KRW,Air One (에어원) 스카이패스,
2026-07-06,13:40,이체,이체,미분류,이용순,-200000,KRW,신한 주거래 우대통장(S-lite),
2026-07-05,21:41,지출,식비,한식,별미분식 인천공항T2점,-22800,KRW,KT DC Plus KB국민카드,
2026-07-05,15:11,지출,온라인쇼핑,서비스구독,ALIPAY CONNECT PTE. LTD,-30000,KRW,카카오페이 간편결제,
2026-07-05,03:52,지출,자동차,통행료,신공항고속도로,-3200,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-04,10:15,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-13900,KRW,카카오페이 간편결제,
2026-07-04,01:36,지출,금융,이자/대출,한도대출이자,-240613,KRW,저축예금,
2026-07-03,06:39,지출,식비,일식,팝업스토어 인천공항T2 A/S 3F 카츄마마,-5700,KRW,KT DC Plus KB국민카드,
2026-07-02,21:29,지출,교통,택시,우버택시가승인,100,KRW,KT DC Plus KB국민카드,
2026-07-02,21:28,지출,교통,택시,우버택시가승인,-100,KRW,KT DC Plus KB국민카드,
2026-07-02,12:08,지출,여행/숙박,여행,트립닷컴,-39700,KRW,네이버페이 간편결제,
2026-07-02,07:49,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-12000,KRW,카카오페이 간편결제,
2026-07-01,18:01,지출,여행/숙박,여행용품,와이파이도시락,-1307,KRW,네이버페이 간편결제(포인트),
2026-07-01,18:01,지출,여행/숙박,여행용품,와이파이도시락,-11963,KRW,네이버페이 간편결제,
2026-07-01,10:23,이체,저축,미분류,003-이도현,210000,KRW,NH주거래우대통장,
2026-07-01,05:07,지출,주거/통신,휴대폰,자동결제2_다날1,-3483,KRW,Air One (에어원) 스카이패스,
2026-07-01,04:53,지출,자동차,통행료,한국도로공사,-1800,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-01,04:53,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-07-01,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-06-30,22:33,지출,금융,카드,NHNKCP,-249899,KRW,네이버페이 간편결제,
2026-06-30,17:33,지출,온라인쇼핑,인터넷쇼핑,나이스_당근페이,-500000,KRW,Air One (에어원) 스카이패스,
2026-06-30,08:47,이체,현금,미분류,004.송영애,-870000,KRW,신한 주거래 우대통장(S-lite),
2026-06-30,06:03,지출,자동차,통행료,한국도로공사,-2400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-30,06:03,지출,자동차,통행료,제이서해안고속도로,-2900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-30,00:00,지출,교통,대중교통,06월지하철1건,-1550,KRW,Air One (에어원) 스카이패스,
2026-06-30,00:00,지출,자동차,통행료,유료터널,-800,KRW,Air One (에어원) 스카이패스,
2026-06-29,10:59,이체,카드대금,미분류,KB카드출금,-512141,KRW,신한 주거래 우대통장(S-lite),
2026-06-29,10:57,이체,카드대금,미분류,KB카드출금,-50045,KRW,신한 주거래 우대통장(S-lite),
2026-06-29,10:51,이체,카드대금,미분류,신한카드,-317051,KRW,신한 주거래 우대통장(S-lite),
2026-06-29,07:22,지출,문화/여가,음악,J311234455656,-48988,KRW,신한 주거래 우대통장(S-lite),
2026-06-29,07:11,지출,온라인쇼핑,인터넷쇼핑,롯데ON,-22525,KRW,네이버페이 간편결제,
2026-06-28,11:29,이체,미분류,미분류,입금 내역,0,KRW,NH주거래우대통장,
2026-06-28,08:42,지출,자동차,통행료,한국도로공사,-4600,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-28,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-2150,KRW,Air One (에어원) 스카이패스,
2026-06-27,03:16,수입,금융수입,미분류,이자,2,KRW,MY 입출금통장,
2026-06-26,18:01,이체,카드대금,미분류,신한카드,-1660865,KRW,신한 주거래 우대통장(S-lite),
2026-06-26,06:02,지출,금융,증권/투자,311243546349,-79835,KRW,신한 주거래 우대통장(S-lite),
2026-06-26,04:18,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-26,04:18,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-25,19:12,지출,금융,보험,NH손보108회,-43470,KRW,신한 주거래 우대통장(S-lite),
2026-06-25,18:48,지출,금융,카드,현대카드(주),-1483051,KRW,신한 주거래 우대통장(S-lite),
2026-06-25,18:48,지출,금융,카드,현대카드(주),-37200,KRW,신한 주거래 우대통장(S-lite),
2026-06-25,18:35,지출,금융,이자/대출,한국장학재단,-58661,KRW,신한 주거래 우대통장(S-lite),
2026-06-25,15:01,지출,교육/학습,학습교재,(주)웅진씽크빅,-99000,KRW,Air One (에어원) 스카이패스,
2026-06-25,01:08,지출,온라인쇼핑,서비스구독,Netflix.com,-17000,KRW,Air One (에어원) 스카이패스,
2026-06-24,15:25,지출,주거/통신,관리비,KB아파트관리비,-252690,KRW,KT DC Plus KB국민카드,
2026-06-24,04:54,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-24,04:54,지출,자동차,통행료,서울터널,-2700,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-24,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-06-23,20:54,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-15750,KRW,Air One (에어원) 스카이패스,
2026-06-23,18:43,지출,온라인쇼핑,서비스구독,유튜브프리미엄,-14900,KRW,Air One (에어원) 스카이패스,
2026-06-23,17:07,지출,자동차,통행료,서울터널,-2700,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-23,17:07,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-22,11:04,지출,여행/숙박,숙박비,(주)호텔롯데,-140600,KRW,Air One (에어원) 스카이패스,
2026-06-22,11:04,지출,여행/숙박,숙박비,(주)호텔롯데,100000,KRW,Air One (에어원) 스카이패스,
2026-06-22,09:15,지출,여행/숙박,숙박비,(주)호텔롯데,-126400,KRW,Air One (에어원) 스카이패스,
2026-06-22,07:52,이체,이체,미분류,이*실,100000,KRW,카카오페이 머니,
2026-06-22,07:12,지출,금융,보험,KB손023 06,-13000,KRW,신한 주거래 우대통장(S-lite),
2026-06-22,06:22,이체,이체,미분류,이용순,200000,KRW,신한 주거래 우대통장(S-lite),
2026-06-22,03:47,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-22,03:47,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-21,21:58,지출,뷰티/미용,화장품,씨제이올리브영(주)명동타임워크점,-13500,KRW,Air One (에어원) 스카이패스,
2026-06-21,21:48,지출,식비,한식,주식회사 손의손명동점,-47500,KRW,Air One (에어원) 스카이패스,
2026-06-21,14:21,지출,여행/숙박,숙박비,(주)호텔롯데,-100000,KRW,Air One (에어원) 스카이패스,
2026-06-20,12:14,이체,저축,미분류,예금결산이자,0,KRW,WON 통장,
2026-06-20,09:56,이체,저축,미분류,예금결산이자,0,KRW,우리 SUPER주거래 통장,
2026-06-20,04:36,수입,금융수입,미분류,03.21~06.19,0,KRW,신한S-MORE(에스모어)포인트통장,
2026-06-20,04:26,수입,금융수입,미분류,03.21~06.19,423,KRW,신한 주거래 우대통장(S-lite),
2026-06-20,03:57,이체,미분류,미분류,입금 내역,63,KRW,저축예금,
2026-06-20,03:35,수입,금융수입,미분류,03.21~06.19,0,KRW,저축예금,
2026-06-20,03:28,수입,금융수입,미분류,03.21~06.19,0,KRW,사이버증권거래저축예금,
2026-06-20,03:15,수입,금융수입,미분류,03.21~06.19,0,KRW,U드림 저축예금 (인터넷전용),
2026-06-19,12:36,이체,이체,미분류,전승철,-400000,KRW,신한 주거래 우대통장(S-lite),
2026-06-18,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-06-18,00:00,지출,온라인쇼핑,인터넷쇼핑,네이버페이,35900,KRW,Air One (에어원) 스카이패스,
2026-06-17,11:57,지출,뷰티/미용,헤어샵,0713929795690,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-06-17,11:56,지출,금융,증권/투자,0713929795688,-1000000,KRW,신한 주거래 우대통장(S-lite),
2026-06-17,10:26,지출,식비,양식,SOUP,35900,KRW,네이버페이 간편결제,
2026-06-17,04:31,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-17,04:31,지출,자동차,통행료,서울터널,-5400,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-06-17,00:00,지출,교통,대중교통,모바일_삼성페이_후불지하철,-1550,KRW,Air One (에어원) 스카이패스,
2026-06-16,16:11,수입,급여,미분류,육아급여고용부,2500000,KRW,신한 주거래 우대통장(S-lite),
2026-06-15,22:17,지출,여행/숙박,숙박비,호텔롯데,-338800,KRW,Air One (에어원) 스카이패스,
2026-06-15,18:48,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-31140,KRW,Air One (에어원) 스카이패스,
2026-06-15,18:29,지출,금융,이자/대출,한국장학재단,-58510,KRW,신한 주거래 우대통장(S-lite),
